Record ID,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
6.34376E+17,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,1,1
6.34378E+17,,,0,0,1,2,2,2,1,1,2,0,0,2,2,1,1,1,,1,,2,1,-2,-2,2,0,0,2,2
6.34381E+17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34383E+17,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1
6.34389E+17,0,0,1,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.34389E+17,1,2,1,0,1,1,2,1,1,0,0,0,0,1,2,2,2,1,0,1,1,1,2,1,1,2,0,1,1,0
6.34389E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34389E+17,-2,0,0,0,-2,-1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2
6.34395E+17,2,0,1,-1,0,2,2,2,2,1,2,2,0,2,2,0,2,2,2,2,2,2,0,2,2,1,1,2,2,2
6.34395E+17,0,1,-1,0,1,-1,2,2,1,0,-1,-1,1,2,2,2,1,1,2,2,2,2,1,1,-1,2,-1,1,1,1
6.34396E+17,1,2,1,1,1,2,2,2,2,1,2,2,2,1,1,0,1,1,2,0,0,0,1,1,1,1,1,0,2,2
6.344E+17,1,2,2,2,1,1,1,1,1,0,0,0,1,0,2,0,0,2,1,0,0,0,1,2,2,0,2,-1,-1,1
6.34408E+17,1,2,2,0,-1,0,1,0,1,,1,1,1,1,2,2,2,2,1,2,2,2,2,0,1,1,0,2,0,1
6.34411E+17,1,0,0,-2,0,-2,0,0,1,0,0,0,0,0,1,-1,0,1,1,-1,-1,-1,-2,0,0,-1,1,-1,0,0
6.34413E+17,0,0,-1,-1,0,0,-1,0,0,-1,-2,-2,0,-1,1,1,1,1,0,-1,-1,-1,0,1,-1,0,1,1,-1,-1
6.34414E+17,2,2,2,2,2,2,2,2,2,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
6.34418E+17,1,-2,-2,0,0,1,-2,-2,0,0,0,0,0,-2,1,-1,-2,0,,-2,-2,-2,-2,1,1,0,0,0,-2,-2
6.34418E+17,0,1,1,-1,-2,-2,-2,-2,0,-1,-2,-2,0,-2,2,1,1,1,-1,-1,-1,1,1,-2,-2,-2,1,1,-1,-1
6.3442E+17,-2,0,1,0,-2,-1,-1,-1,-1,-1,0,0,0,-2,1,1,0,2,-1,-1,-1,-1,1,2,1,-1,0,1,-1,-1
6.3442E+17,2,2,2,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
6.34421E+17,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.34423E+17,1,1,1,0,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.34425E+17,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,1,1,1,1,1,1,1,1,-1,-1,1,1,0,1,-1
6.34426E+17,-1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.3443E+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3443E+17,1,0,1,0,-1,1,1,1,1,1,0,0,0,1,1,-2,1,-1,1,-2,-2,-2,-2,2,2,1,1,0,1,1
6.34432E+17,1,2,2,2,-2,-2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,0,2,2
6.34436E+17,1,1,1,0,0,1,1,1,1,0,0,1,0,1,2,-2,0,1,1,-1,0,1,0,2,1,1,-2,1,1,1
6.34439E+17,1,-1,-1,1,-1,-1,-1,-1,1,-2,0,0,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,0,-1,-1,0,0
6.34444E+17,-1,1,1,-1,-2,-2,0,-2,-1,-2,-2,-2,-1,0,0,1,1,0,-2,0,0,0,1,1,1,0,-1,-1,-1,-2
6.34445E+17,1,-2,-2,0,-1,0,1,1,0,-1,-1,0,1,0,2,1,2,-1,1,1,1,1,0,0,1,-1,1,-2,-1,-1
6.34447E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
